,ID,h,j,v,z,label
38,GDS_deep2_10135,503.009154883,388.68560408,141.534247874,145.828585516,disk
39,GDS_deep2_10138,844.00795063,957.022801765,465.665852101,577.564863571,disk
40,GDS_deep2_10139,422.012286688,470.406474156,260.738893573,316.21433036,disk
41,GDS_deep2_10140,640.818414162,499.101656243,462.858589816,312.461037047,disk
42,GDS_deep2_10142,1104.82679243,807.400283142,77.459440331,192.475346375,spheroid
43,GDS_deep2_10145,728.792603185,881.154256386,526.087711835,549.184159941,spheroid
44,GDS_deep2_10149,482.542252011,591.169226173,508.660793271,416.875455384,disk
45,GDS_deep2_10153,257.522963528,300.21930706,308.563556476,247.459034314,disk
46,GDS_deep2_10154,1025.20382939,1032.40761677,195.109967081,549.639213571,pointsource
47,GDS_deep2_10155,2536.87392602,2056.63027126,380.41763584,770.167816914,disk
48,GDS_deep2_10166,899.466951925,846.839579083,319.461502835,410.121909337,disk
49,GDS_deep2_10169,932.961248517,1106.51877112,428.328875183,602.306844638,spheroid
50,GDS_deep2_10172,1239.72571936,1020.74978302,145.972579781,401.153914959,spheroid
51,GDS_deep2_10176,844.405247479,818.901419926,426.268252702,458.195413242,spheroid
52,GDS_deep2_10182,2552.88109671,2078.32685438,633.431049977,818.18075354,disk
53,GDS_deep2_10184,350.011161282,335.064243779,320.01951276,229.587315941,disk
54,GDS_deep2_10189,1609.23177964,1865.79300389,707.970187887,847.860306734,disk
55,GDS_deep2_10191,3350.39503214,3321.01973825,inf,1556.55991066,disk
56,GDS_deep2_10193,1493.13977747,1420.97344695,132.829518295,391.707483159,spheroid
57,GDS_deep2_10198,829.061110502,968.581084185,641.320417411,614.115983101,spheroid
58,GDS_deep2_10199,441.86022386,417.836031697,436.601803979,246.8045225,disk
59,GDS_deep2_10201,1557.03760152,1436.1923467,448.07342445,437.347409594,spheroid
60,GDS_deep2_10208,626.924327122,770.532976501,761.655225113,558.163259768,disk
61,GDS_deep2_10209,170.530354811,95.871081359,113.98314072,90.9318223501,pointsource
62,GDS_deep2_10212,667.212632287,698.550307104,1052.64785701,512.481287495,irregular
64,GDS_deep2_10217,1440.85655015,884.430130812,242.224508272,291.39296061,spheroid
65,GDS_deep2_10218,370.726125396,465.029286602,362.734999176,279.874209444,disk
66,GDS_deep2_10221,703.532196742,664.67634482,418.174601002,306.734425165,spheroid
67,GDS_deep2_10222,1990.0878051,2678.28647334,289.336511922,1006.00645643,pointsource
68,GDS_deep2_10223,1801.42589338,1971.49758835,922.994741632,1082.74069211,disk
69,GDS_deep2_10226,9332.85855005,8721.42928459,3199.21913128,4300.2408997,spheroid
71,GDS_deep2_10234,997.655838099,1182.83889881,1002.09436721,840.189743688,spheroid
72,GDS_deep2_10236,2590.1610658,2456.89845543,1042.72634489,1276.61893102,disk
73,GDS_deep2_10239,320.67496125,323.882722574,238.638706477,230.955725465,disk
74,GDS_deep2_10246,400.641122653,421.545487132,247.308368905,204.695856068,disk
75,GDS_deep2_10248,1629.9562836,1989.72174605,975.138117803,1072.40555376,disk
76,GDS_deep2_10262,2119.24684492,1891.00330448,203.897796511,660.131611327,spheroid
77,GDS_deep2_10266,469.309269553,520.416924816,350.365824998,348.532929969,disk
78,GDS_deep2_10267,6239.41236762,5946.37585415,997.597265121,2252.06380175,spheroid
79,GDS_deep2_10272,818.073357582,918.121759219,605.536122741,706.805662775,disk
80,GDS_deep2_10276,1680.52263392,1924.90527068,707.102782581,954.229587426,spheroid
81,GDS_deep2_10279,2552.01713088,2666.51380969,707.51197035,1111.22181314,spheroid
82,GDS_deep2_10283,326.967436261,396.299507102,325.122800382,274.466302461,spheroid
83,GDS_deep2_10287,796.322933745,967.815838895,603.267355521,734.66323481,disk
84,GDS_deep2_10289,709.338307308,736.631056582,516.177173378,539.045406546,disk
86,GDS_deep2_10303,22297.8901322,22813.7070174,9049.29319069,11636.8206064,disk
87,GDS_deep2_10305,4858.90330839,5817.90977456,697.929696413,2375.81073047,pointsource
88,GDS_deep2_10307,195.647388466,253.579993235,253.928014661,206.48920339,disk
89,GDS_deep2_10308,547.161390423,468.639742514,376.338402028,243.217340881,spheroid
90,GDS_deep2_10312,16477.1587142,14595.3135304,15539.961853,7964.62669841,pointsource
91,GDS_deep2_10315,343.018051022,426.607157781,340.501027037,332.132874613,irregular
92,GDS_deep2_10318,2307.11781759,2188.65859682,544.636475607,1056.8000396,disk
93,GDS_deep2_10319,137.335198551,242.646984176,208.389928806,123.710196638,disk
94,GDS_deep2_10327,777.503759323,788.963850741,399.652279437,508.038733232,disk
95,GDS_deep2_10328,512.045592547,341.4570971,239.682922589,161.768404361,disk
96,GDS_deep2_10330,1048.51418021,803.627144143,77.6818918919,150.139484682,spheroid
97,GDS_deep2_10332,2519.93081912,3141.46551975,1656.03720132,1242.85693834,disk
99,GDS_deep2_10337,5430.67338574,4196.38728715,520.639890604,948.296997467,spheroid
101,GDS_deep2_10342,674.299840819,565.313495122,512.989026002,330.369691461,disk
102,GDS_deep2_10344,221.536691038,251.759391197,186.714855962,126.403204971,disk
104,GDS_deep2_10351,347.250313862,353.400557809,417.491045334,255.423470624,disk
106,GDS_deep2_10364,571.953225247,693.499619986,541.180525337,491.646446201,disk
107,GDS_deep2_10367,895.380258581,993.420722244,671.657273585,627.171352018,spheroid
108,GDS_deep2_10370,6077.01378508,5742.75668876,1904.76873811,2762.26304903,disk
109,GDS_deep2_10372,688.093236629,783.074070062,663.39545399,540.791620826,spheroid
110,GDS_deep2_10373,1591.65811747,2112.43544664,1239.4109286,1228.44658642,disk
112,GDS_deep2_10377,439.661509483,398.699600577,576.255410958,378.579454704,disk
113,GDS_deep2_10382,306.553140494,272.713002303,311.676688064,166.472150146,disk
114,GDS_deep2_10383,2236.7511414,2026.69841719,423.647023945,824.857065998,disk
115,GDS_deep2_10388,439.928994361,504.616597491,260.245795682,242.087934595,spheroid
116,GDS_deep2_10389,1189.92808889,1546.44954021,760.397447847,978.724785472,disk
117,GDS_deep2_10394,1305.04733672,1412.88123749,604.33474836,731.244300171,spheroid
118,GDS_deep2_10396,280.243117334,359.595236299,223.195259191,243.925852299,spheroid
119,GDS_deep2_10400,296.579600239,287.894596045,382.01574162,216.657627639,disk
120,GDS_deep2_10403,6065.92781888,5374.01932578,2248.12376377,2994.0638087,disk
121,GDS_deep2_10414,221.111114241,304.404214536,151.186563659,217.44536382,unknown
122,GDS_deep2_10417,1277.15266608,1217.35493644,1287.62950999,1015.83794747,disk
123,GDS_deep2_10418,663.959407535,736.192913841,376.66930686,447.853760673,disk
124,GDS_deep2_10421,328.955849206,398.891875541,513.872989489,327.378140806,spheroid
125,GDS_deep2_10425,180271.545389,225505.598495,104256.371081,102283.131098,pointsource
126,GDS_deep2_10427,903.190246775,916.770280124,1008.65534196,804.962190741,irregular
127,GDS_deep2_10429,1979.1780597,1850.1675186,355.116774682,860.766502042,spheroid
128,GDS_deep2_10437,9259.6688153,12221.1137513,3237.93411819,5474.37861925,pointsource
129,GDS_deep2_10461,246.688012311,341.624771851,219.706750403,157.481025637,irregular
130,GDS_deep2_10465,2551.39331321,2046.46809896,476.179082258,710.976252319,disk
131,GDS_deep2_10478,1506.34795665,2228.11466158,1796.21833847,1353.03527216,irregular
132,GDS_deep2_10479,340.338141941,349.784816177,162.544516034,307.350854346,disk
134,GDS_deep2_10503,2191.12781804,2350.6697147,1482.47433761,1356.44892375,disk
135,GDS_deep2_10506,3148.09769331,3656.44753195,2563.07539643,2011.40624901,disk
137,GDS_deep2_10510,381.525313764,330.149276964,381.942685439,217.624629377,spheroid
138,GDS_deep2_10511,705.551159826,1151.0314092,938.563575222,583.556667305,disk
139,GDS_deep2_10513,9427.57238468,12452.3724021,1666.66531241,4756.26385482,pointsource
141,GDS_deep2_10521,5705.85267092,5354.06402888,420.691378435,1480.32479736,spheroid
142,GDS_deep2_10523,2026.81646453,2392.85197543,1386.57032155,1455.26032136,disk
143,GDS_deep2_10536,819.835005402,502.643654324,114.520747759,199.42321945,spheroid
144,GDS_deep2_10538,1618.68538993,2042.5739114,1513.425459,1372.42253154,disk
146,GDS_deep2_10553,246.796996966,268.613130186,179.041252286,170.440645697,irregular
147,GDS_deep2_10557,194.100847297,257.122458814,234.57334761,197.155908284,disk
149,GDS_deep2_10571,356.099892836,563.37752512,515.979190237,317.047452853,spheroid
151,GDS_deep2_10582,590.970469967,689.970352451,415.926480168,479.106375783,disk
152,GDS_deep2_10587,893.873079471,1004.2052917,765.54745522,664.902646518,disk
153,GDS_deep2_10588,331.825133012,381.85658851,323.716091458,273.710191309,disk
154,GDS_deep2_10590,1153.52545122,1011.13540128,343.184443709,377.740702035,disk
155,GDS_deep2_10595,4581.83702575,5083.27248713,3002.46308646,2823.53183219,disk
156,GDS_deep2_10596,2938.37141217,2640.53868001,676.008020986,910.495702775,disk
157,GDS_deep2_10601,691.313405222,739.119363483,271.890423021,417.11041337,disk
158,GDS_deep2_10606,1133.0119821,1293.68020037,964.620907197,811.081142227,disk
159,GDS_deep2_10609,1691.60187399,1828.65988267,895.60874914,1009.91075788,disk
160,GDS_deep2_10613,962.573928942,947.683448673,510.435162391,534.961624548,disk
162,GDS_deep2_10635,752.255939746,866.111491643,780.065208678,588.877405295,disk
163,GDS_deep2_10637,275.350955601,353.082947588,232.930273549,236.196855713,irregular
164,GDS_deep2_10638,1613.75507151,1457.5817191,556.515293672,623.078145228,disk
165,GDS_deep2_10648,890.167989461,1121.06984606,832.03451889,764.642610502,spheroid
166,GDS_deep2_10652,553.855353057,589.471577046,791.723800455,466.391513556,disk
167,GDS_deep2_10653,406.496261563,352.125161769,251.943792232,219.315599376,irregular
168,GDS_deep2_10654,1787.55177307,1759.21523825,785.036267275,994.0449457,spheroid
170,GDS_deep2_10661,673.769759064,805.206509993,480.514663031,370.60876588,disk
171,GDS_deep2_10673,33985.3585762,32782.3580565,11937.7117015,14451.7678582,spheroid
172,GDS_deep2_10694,353.516857346,423.395321525,321.94058706,299.372805305,irregular
173,GDS_deep2_10703,1479.5165904,1654.74302624,831.685084451,1123.05628552,disk
174,GDS_deep2_10704,6928.83122441,8050.84557229,7567.27037,5211.40094126,disk
175,GDS_deep2_10709,331.732358768,397.629764846,400.225798936,324.138879108,disk
177,GDS_deep2_10716,398.769746797,424.390950051,389.230323646,322.235609898,spheroid
178,GDS_deep2_10720,3879.24862892,3326.89917867,1153.51129638,1319.90798358,irregular
179,GDS_deep2_10731,650.02652884,754.737875859,788.123508078,546.266460589,disk
180,GDS_deep2_10740,561.837660102,600.666138937,535.340951121,447.932183171,disk
181,GDS_deep2_10751,7086.46707626,7137.63826658,3153.7764263,3744.19466741,spheroid
182,GDS_deep2_10752,1459.59849258,1674.23746949,895.695803041,1092.27665826,disk
183,GDS_deep2_10758,193.051831203,137.355318816,133.822311383,89.3053459335,unknown
185,GDS_deep2_10763,503.014687035,533.137298724,645.612349337,496.112424971,disk
186,GDS_deep2_10775,273.4087953,305.0137504,222.817396056,242.189107607,disk
188,GDS_deep2_10782,484.674958864,497.111217968,128.907960037,226.701121241,disk
189,GDS_deep2_10783,452.087507576,677.368829438,641.508001207,357.859991552,disk
190,GDS_deep2_10785,323.299658973,812.424986661,514.963037411,282.544152202,irregular
191,GDS_deep2_10798,249.060690837,267.183712744,313.455489395,248.830532653,disk
192,GDS_deep2_10807,359.96444639,271.371892134,392.729121147,194.139267536,disk
194,GDS_deep2_10843,530.079182757,669.388179392,494.839870631,352.306807777,disk
195,GDS_deep2_10849,1768.8804163,3336.89371259,4168.03346153,4323.65478418,disk
196,GDS_deep2_10854,4376.81366154,3901.41826832,372.696779633,1367.51377461,spheroid
197,GDS_deep2_10865,7342.55287881,10463.008533,10512.6191209,6871.98067093,pointsource
200,GDS_deep2_10902,430.905143703,553.007523224,448.933115332,444.494672922,disk
201,GDS_deep2_10910,464.892394111,503.069314646,485.313840467,364.554302964,disk
202,GDS_deep2_10914,1043.57919944,1099.29965078,679.342632191,711.209419592,disk
203,GDS_deep2_10920,1354.35922464,1643.57271545,1187.17321179,1010.45046637,disk
204,GDS_deep2_10921,374.533475339,411.710848732,513.449565482,364.56155119,spheroid
207,GDS_deep2_10926,6914.98973655,7874.72206184,7775.52418143,5168.69747698,disk
209,GDS_deep2_10938,706.51143978,780.614820514,453.848204689,593.387491974,disk
210,GDS_deep2_10948,743.114625942,692.159583613,273.676295291,427.383462886,spheroid
211,GDS_deep2_10955,515.454021281,546.603457128,470.939337496,326.411445363,disk
212,GDS_deep2_10956,4827.05884012,5232.3828418,15809.7970315,6751.83828172,spheroid
213,GDS_deep2_10961,10659.8113633,9863.56725894,1654.80408529,3732.63158344,disk
214,GDS_deep2_10972,500.525822837,522.534126429,327.628203346,313.410329798,disk
215,GDS_deep2_10974,2025.17142493,2164.42440148,1856.87442182,1606.23196791,disk
216,GDS_deep2_10976,337.645160311,259.442342729,248.424219952,263.93984195,disk
217,GDS_deep2_10986,638.687408178,703.927207172,410.826077111,331.832856368,disk
218,GDS_deep2_10994,950.112652305,1107.99955814,814.063165703,704.177520606,disk
219,GDS_deep2_10995,402.402716354,433.514565951,249.165258923,286.309679422,spheroid
220,GDS_deep2_11001,784.091146153,794.568922228,589.536018644,582.57405948,disk
221,GDS_deep2_11005,364.928818118,452.724737785,388.01638082,325.409354357,spheroid
222,GDS_deep2_11017,536.979939125,467.431079034,304.955176917,213.172548169,spheroid
223,GDS_deep2_11021,288.46648805,236.073679971,78.5775827921,109.321097718,spheroid
224,GDS_deep2_11024,1500.36511449,1230.62310656,272.611331189,496.516058413,spheroid
225,GDS_deep2_11030,478.780030197,478.791197843,520.300984882,412.581716659,disk
226,GDS_deep2_11032,1984.10353807,2515.85580907,1738.93155097,1757.44243128,disk
227,GDS_deep2_11033,985.158644373,1206.17864263,1194.47056411,813.375388812,disk
228,GDS_deep2_11050,445.129706791,417.224056793,484.288551904,350.607318378,disk
229,GDS_deep2_11054,1139.80342842,1289.31743529,565.794969683,667.255505748,disk
230,GDS_deep2_11056,305.668924322,387.704851063,160.446968989,214.089197453,disk
231,GDS_deep2_11059,680.613318847,587.043159972,653.954609219,368.212116025,disk
232,GDS_deep2_11060,270.333838605,318.724323108,270.775209212,283.943859338,irregular
233,GDS_deep2_11078,739.910475101,563.92539725,258.441127602,246.899854689,spheroid
234,GDS_deep2_11084,717.378917687,1333.25566474,929.100291351,1145.16602251,irregular
235,GDS_deep2_11089,358.146388268,164.311161018,189.728950674,154.148138058,disk
236,GDS_deep2_11093,476.791439397,558.662751462,364.051228245,344.007989355,disk
237,GDS_deep2_11104,816.037499721,689.330067712,621.387747337,387.271494855,disk
238,GDS_deep2_11108,577.840992786,529.582631425,239.818442614,235.943771898,irregular
239,GDS_deep2_11111,1628.27282985,1305.64346326,677.331460411,667.330781836,disk
240,GDS_deep2_11114,1418.31618062,1710.44202719,1296.63263217,1064.37347013,disk
241,GDS_deep2_11120,617.029456843,567.622276809,234.968633361,250.476112278,disk
243,GDS_deep2_11132,8232.98442102,7628.2155031,2988.46528177,3804.60239445,spheroid
244,GDS_deep2_11139,1276.84926938,1521.37608396,1103.18152638,916.389382025,disk
245,GDS_deep2_11140,1043.40492361,1343.64128178,626.81508664,794.282654939,disk
246,GDS_deep2_11141,566.665709097,700.171285147,809.76702426,534.179719624,disk
247,GDS_deep2_11144,3029.09882707,3147.30995006,2885.84122668,2281.74318304,disk
249,GDS_deep2_11153,1416.85543745,1071.0690952,294.64159737,402.431836549,spheroid
250,GDS_deep2_11164,683.41516936,826.583342262,543.114125218,625.306103495,disk
252,GDS_deep2_11173,546.98059124,632.436931129,408.739659257,424.735845796,disk
253,GDS_deep2_11181,1049.08738572,1125.11716503,528.56689859,653.229644477,disk
254,GDS_deep2_11193,483.908953116,519.536654375,555.936579754,445.219911687,disk
255,GDS_deep2_11196,1115.12734665,1650.75429492,2047.80956453,1702.17028201,spheroid
256,GDS_deep2_11199,285.549184833,360.442792003,407.123515081,226.98706806,disk
257,GDS_deep2_11202,365.232478514,379.769721453,229.864208416,167.317221622,disk
258,GDS_deep2_11204,437.74357362,495.285965198,291.233329303,308.645293684,disk
259,GDS_deep2_11205,676.443312102,630.631979888,502.334598121,358.801579735,disk
260,GDS_deep2_11207,268.578867964,339.795636288,210.597065554,240.022603329,disk
261,GDS_deep2_11225,717.732019274,867.485942168,821.502398154,731.412909264,irregular
262,GDS_deep2_11228,939.904945346,1303.73101041,1763.63772768,930.551509395,spheroid
263,GDS_deep2_11230,611.710150173,587.265625039,289.3701704,370.653458614,spheroid
264,GDS_deep2_11245,453.367261766,418.050301613,525.159140267,254.058156995,spheroid
265,GDS_deep2_11249,857.183738181,1009.74761797,559.845061713,604.791800819,disk
266,GDS_deep2_11261,315.613505135,424.547100576,270.536571644,297.182942646,disk
267,GDS_deep2_11273,2105.77577608,2468.45704209,1384.5305518,1548.36217026,spheroid
268,GDS_deep2_11275,359.294458692,389.736652175,194.13474471,237.020981082,disk
269,GDS_deep2_11279,4322.6649661,4115.72452421,1412.19094162,2047.44956676,disk
271,GDS_deep2_11297,2703.83257365,2215.30144422,195.643685631,380.230166122,spheroid
273,GDS_deep2_11302,350.064685687,482.205909573,421.572569286,336.921964829,spheroid
274,GDS_deep2_11310,979.613529093,1045.01640042,254.116873621,498.286350927,spheroid
275,GDS_deep2_11320,387.866052268,244.5297112,44.4724020725,92.6789459401,disk
276,GDS_deep2_11325,9290.94516789,8595.03033579,1693.48118817,3615.57934639,disk
278,GDS_deep2_11341,859.952856215,837.36797616,233.845093319,408.067806845,disk
280,GDS_deep2_11345,582.039473401,561.248207455,418.870081079,359.505783584,spheroid
281,GDS_deep2_11352,2789.31962947,2606.98248876,719.468462336,1278.81321328,spheroid
282,GDS_deep2_11360,3657.42402098,3123.82288243,309.449712518,924.249531012,spheroid
283,GDS_deep2_11362,231.776690314,211.12646852,209.099604304,139.060503078,disk
284,GDS_deep2_11364,1198.82102944,1392.35095696,822.301378263,740.218208943,pointsource
285,GDS_deep2_11373,1610.85722305,1261.15926067,193.821485979,579.029810437,disk
286,GDS_deep2_11380,822.809372947,957.671487039,389.89521281,559.500971417,disk
287,GDS_deep2_11416,1648.93377546,1782.69924368,933.340234353,1137.62897657,spheroid
289,GDS_deep2_11437,1599.18358371,1184.18090653,191.927047336,434.429363829,disk
290,GDS_deep2_11469,3803.04400448,4094.30168119,2412.57175109,2394.42451626,disk
291,GDS_deep2_11479,437.16150471,506.536918738,260.867779692,316.964641388,disk
292,GDS_deep2_11493,3037.6125022,3195.03167711,1027.5742903,1397.90950443,spheroid
293,GDS_deep2_11500,1597.54334029,1737.14851567,710.942547005,941.66202996,disk
294,GDS_deep2_11520,406.352580435,420.354601012,189.067121388,233.682446706,spheroid
295,GDS_deep2_11523,1253.71895018,1442.26741138,1284.16538494,1013.5648982,disk
296,GDS_deep2_11530,8040.19065293,9752.96559196,6669.59167346,4837.14782123,spheroid
297,GDS_deep2_11532,2441.39930585,2241.47753897,270.118738205,872.947004289,spheroid
298,GDS_deep2_11551,353.110909027,409.023245533,201.382896995,250.899140709,spheroid
299,GDS_deep2_11554,770.988395852,841.852986184,379.866924007,361.113207723,irregular
300,GDS_deep2_11556,3713.56971895,3604.45968712,2397.79275469,2049.5268924,disk
301,GDS_deep2_11568,570.433592352,641.201193218,239.502835975,225.396831491,disk
302,GDS_deep2_11580,2812.31534299,3094.57764446,2085.591303,1955.59143847,disk
303,GDS_deep2_11587,675.288976709,750.694594176,976.404698228,513.969504878,disk
304,GDS_deep2_11589,343.286368268,286.495258206,254.941681904,172.816743126,disk
305,GDS_deep2_11590,308.131783014,423.602474889,262.801053346,256.197343936,disk
306,GDS_deep2_11603,1795.04035364,1880.34718958,797.236095864,1117.27823096,disk
308,GDS_deep2_11632,707.708561398,684.846399696,508.902179684,456.445663501,disk
309,GDS_deep2_11647,669.802701669,642.000782487,886.328427465,509.712283231,irregular
310,GDS_deep2_11667,313.455219151,457.432938005,281.192874295,292.077495138,disk
311,GDS_deep2_11669,2689.57345121,2863.03802942,1257.34998342,1571.04303103,disk
312,GDS_deep2_11673,3454.93816782,2744.88296441,544.917307613,1119.91833236,disk
313,GDS_deep2_11676,557.080229677,644.521085174,427.246430352,429.275045425,disk
314,GDS_deep2_11678,419.194555964,493.800605997,269.51747925,349.544792528,spheroid
315,GDS_deep2_11681,337.32552592,330.936145812,210.953007296,181.341449842,disk
316,GDS_deep2_11683,577.193956616,609.774964889,824.268268124,457.204889019,spheroid
317,GDS_deep2_11687,548.975608099,627.396515663,480.185515746,377.114276676,spheroid
318,GDS_deep2_11688,591.848221227,524.352002046,474.874241946,304.431039531,disk
319,GDS_deep2_11694,817.563752078,904.382780895,553.505547279,494.559455784,disk
320,GDS_deep2_11696,27803.1433844,39291.9986952,41261.0034462,26740.1925013,pointsource
321,GDS_deep2_11706,558.544049305,720.425865699,376.028314526,413.753010775,spheroid
322,GDS_deep2_11716,683.918894547,500.555482475,174.735174394,189.620302392,disk
323,GDS_deep2_11717,474.627330427,306.738250321,238.034881388,169.029016775,spheroid
324,GDS_deep2_11723,496.389488176,604.518857929,175.406290741,268.444689979,spheroid
325,GDS_deep2_11724,1675.81338488,1837.83400325,1468.34655933,1209.51212809,disk
326,GDS_deep2_11733,684.321197154,698.406301207,405.165298879,404.453617186,spheroid
327,GDS_deep2_11735,364.819003986,429.490455215,294.560535516,297.206257026,disk
328,GDS_deep2_11737,972.984009926,1313.72293059,490.893273504,534.954790324,pointsource
329,GDS_deep2_11753,11841.283722,13562.1512301,7790.36072458,6658.48573161,pointsource
330,GDS_deep2_11757,492.553389357,504.663209362,424.568588366,269.376532813,spheroid
331,GDS_deep2_11762,3075.53680125,3109.77558003,1480.7426555,1626.97195649,disk
332,GDS_deep2_11763,282.412955634,266.423248514,210.17923761,211.512808364,disk
333,GDS_deep2_11764,832.878680369,959.466702579,638.759001665,675.180781599,disk
334,GDS_deep2_11768,55007.5478492,67221.4492164,15422.361424,32239.7525244,pointsource
335,GDS_deep2_11771,2534.56806346,2548.12777063,1094.74495292,1321.15130617,disk
336,GDS_deep2_11803,13485.5041407,12281.0112246,2512.78588421,5659.55888647,disk
337,GDS_deep2_11807,465.405218969,472.554436607,177.875444942,202.314971325,disk
338,GDS_deep2_11813,1900.53685919,1501.34367468,270.528270277,390.905253642,irregular
340,GDS_deep2_11837,609.334610283,744.059230704,575.638130445,508.89604683,disk
341,GDS_deep2_11838,311.187510888,431.078160061,289.232685615,351.292869344,spheroid
342,GDS_deep2_11845,11079.2720658,10472.6413326,1606.42630736,4567.86138758,disk
343,GDS_deep2_11860,480.158682903,504.744895188,289.521591969,323.282648642,disk
344,GDS_deep2_11874,11626.6719807,9788.06176006,1993.7532755,4232.51231307,disk
345,GDS_deep2_11925,1344.68473221,1023.08722376,127.369029358,207.489041517,spheroid
346,GDS_deep2_11944,631.976997344,452.154076162,534.163101623,309.942966485,disk
348,GDS_deep2_11952,889.753362397,1026.35558658,796.7953577,663.832392628,disk
349,GDS_deep2_11960,1995.62776135,2292.35767657,2343.62644686,1698.35044719,disk
350,GDS_deep2_11984,686.866367674,744.413434868,808.382935148,602.949696176,disk
351,GDS_deep2_12001,2424.27139434,2612.22358103,839.814055867,1393.91076356,disk
353,GDS_deep2_12077,1275.47077696,1246.03703712,398.770638789,509.181244578,disk
355,GDS_deep2_12085,286.444071722,339.46774293,436.780330788,333.16991406,spheroid
356,GDS_deep2_12128,430.578654886,552.803945159,145.739121279,254.865796388,spheroid
357,GDS_deep2_12176,292.484638641,196.310377066,368.563706191,174.525546881,spheroid
358,GDS_deep2_12198,641.611994761,853.273391455,700.664856527,625.425011756,disk
360,GDS_deep2_12244,420.753902284,464.193529708,236.05013397,256.084967615,spheroid
361,GDS_deep2_12282,1042.86305811,1346.832667,591.847380386,639.129360301,pointsource
362,GDS_deep2_12294,537.439440223,609.576365279,479.466272625,412.081388591,disk
363,GDS_deep2_12295,317.173165105,361.458272492,261.305340064,287.089414885,irregular
364,GDS_deep2_12316,962.070663345,1101.96618012,677.941766791,760.965724262,disk
365,GDS_deep2_12328,2647.70991528,2061.2705122,293.174314262,628.497271521,disk
366,GDS_deep2_12330,329.291913552,270.953789052,217.924428776,148.706090329,disk
367,GDS_deep2_12346,494.953641082,473.469436826,245.734870585,203.343660526,disk
368,GDS_deep2_12387,2906.87724414,3760.39449614,807.233761704,1656.97527942,pointsource
369,GDS_deep2_12413,964.335744962,1104.69794579,715.304492918,629.944829109,spheroid
370,GDS_deep2_12458,7418.47945648,8124.58257449,5549.52144864,4718.50612493,disk
371,GDS_deep2_12466,3611.35045161,3390.07084679,951.650711895,1549.69736214,disk
372,GDS_deep2_12490,538.119093518,496.021896543,343.60468802,206.293747248,spheroid
373,GDS_deep2_12492,1197.12838774,1058.31312729,542.958589573,430.832081883,disk
374,GDS_deep2_12493,425.863291032,480.870014564,167.678303163,255.045088728,disk
375,GDS_deep2_12506,2356.95951582,2468.16763245,2265.57233807,1543.8912364,disk
376,GDS_deep2_12523,434.409106068,588.584439743,228.994754665,280.940152349,spheroid
