,ID,ClSph,ClDk,ClIr,ClPS,ClUn
79,GDS_deep2_10272,0.1,0.9,0.0,0.0,0.0
80,GDS_deep2_10276,1.0,0.0,0.0,0.0,0.0
81,GDS_deep2_10279,0.6,0.4,0.0,0.0,0.0
82,GDS_deep2_10283,0.5,0.3,0.0,0.2,0.0
83,GDS_deep2_10287,0.0,0.9,0.1,0.0,0.0
84,GDS_deep2_10289,0.0,1.0,0.0,0.0,0.0
85,GDS_deep2_10299,0.7,0.3,0.0,0.0,0.0
86,GDS_deep2_10303,0.3,0.7,0.0,0.0,0.0
87,GDS_deep2_10305,0.0,0.0,0.0,1.0,0.0
88,GDS_deep2_10307,0.0,0.9,0.1,0.0,0.0
89,GDS_deep2_10308,0.5,0.5,0.0,0.0,0.0
90,GDS_deep2_10312,0.0,0.0,0.0,1.0,0.0
91,GDS_deep2_10315,0.1,0.3,0.6,0.0,0.0
92,GDS_deep2_10318,0.4,0.6,0.0,0.0,0.0
93,GDS_deep2_10319,0.0,0.7,0.3,0.0,0.0
94,GDS_deep2_10327,0.0,0.9,0.1,0.0,0.0
95,GDS_deep2_10328,0.0,1.0,0.0,0.0,0.0
96,GDS_deep2_10330,0.7,0.0,0.0,0.3,0.0
97,GDS_deep2_10332,0.0,0.9,0.1,0.0,0.0
98,GDS_deep2_10333,0.0,1.0,0.0,0.0,0.0
99,GDS_deep2_10337,0.8,0.2,0.0,0.0,0.0
100,GDS_deep2_10338,0.4,0.6,0.0,0.0,0.0
101,GDS_deep2_10342,0.1,0.6,0.3,0.0,0.0
102,GDS_deep2_10344,0.0,0.5,0.3,0.0,0.2
103,GDS_deep2_10346,0.0,0.6,0.4,0.0,0.0
104,GDS_deep2_10351,0.0,0.6,0.4,0.0,0.0
105,GDS_deep2_10352,0.3,0.6,0.1,0.0,0.0
106,GDS_deep2_10364,0.3,0.5,0.0,0.2,0.0
107,GDS_deep2_10367,0.8,0.2,0.0,0.0,0.0
108,GDS_deep2_10370,0.1,0.9,0.0,0.0,0.0
109,GDS_deep2_10372,0.7,0.2,0.1,0.0,0.0
110,GDS_deep2_10373,0.1,0.7,0.2,0.0,0.0
111,GDS_deep2_10376,0.0,1.0,0.0,0.0,0.0
112,GDS_deep2_10377,0.2,0.6,0.2,0.0,0.0
113,GDS_deep2_10382,0.0,0.4,0.4,0.0,0.2
114,GDS_deep2_10383,0.0,1.0,0.0,0.0,0.0
115,GDS_deep2_10388,0.3,0.3,0.2,0.0,0.2
116,GDS_deep2_10389,0.2,0.7,0.1,0.0,0.0
117,GDS_deep2_10394,0.4,0.4,0.2,0.0,0.0
118,GDS_deep2_10396,0.4,0.4,0.0,0.2,0.0
119,GDS_deep2_10400,0.0,0.4,0.4,0.2,0.0
120,GDS_deep2_10403,0.2,0.6,0.2,0.0,0.0
121,GDS_deep2_10414,0.0,0.3,0.2,0.0,0.5
122,GDS_deep2_10417,0.166666666667,0.466666666667,0.366666666667,0.0,0.0
123,GDS_deep2_10418,0.0,0.8,0.2,0.0,0.0
124,GDS_deep2_10421,0.4,0.2,0.2,0.2,0.0
125,GDS_deep2_10425,0.0,0.0,0.0,1.0,0.0
126,GDS_deep2_10427,0.0,0.2,0.8,0.0,0.0
127,GDS_deep2_10429,0.5,0.5,0.0,0.0,0.0
128,GDS_deep2_10437,0.2,0.0,0.0,0.8,0.0
129,GDS_deep2_10461,0.0,0.2,0.4,0.0,0.4
130,GDS_deep2_10465,0.1,0.6,0.3,0.0,0.0
131,GDS_deep2_10478,0.0666666666667,0.0666666666667,0.866666666667,0.0,0.0
132,GDS_deep2_10479,0.0,1.0,0.0,0.0,0.0
133,GDS_deep2_10485,0.3,0.7,0.0,0.0,0.0
134,GDS_deep2_10503,0.4,0.5,0.0,0.1,0.0
135,GDS_deep2_10506,0.3,0.5,0.2,0.0,0.0
136,GDS_deep2_10508,0.0,0.7,0.3,0.0,0.0
137,GDS_deep2_10510,0.5,0.1,0.0,0.4,0.0
138,GDS_deep2_10511,0.1,0.7,0.0,0.2,0.0
139,GDS_deep2_10513,0.3,0.0,0.0,0.7,0.0
140,GDS_deep2_10518,0.3,0.7,0.0,0.0,0.0
141,GDS_deep2_10521,0.8,0.0,0.0,0.2,0.0
142,GDS_deep2_10523,0.1,0.8,0.1,0.0,0.0
143,GDS_deep2_10536,0.5,0.3,0.0,0.2,0.0
144,GDS_deep2_10538,0.266666666667,0.466666666667,0.266666666667,0.0,0.0
145,GDS_deep2_10544,0.4,0.6,0.0,0.0,0.0
146,GDS_deep2_10553,0.0,0.3,0.5,0.0,0.2
147,GDS_deep2_10557,0.0,0.4,0.4,0.0,0.2
148,GDS_deep2_10558,0.1,0.4,0.5,0.0,0.0
149,GDS_deep2_10571,0.5,0.1,0.0,0.4,0.0
150,GDS_deep2_10581,0.0,0.6,0.4,0.0,0.0
151,GDS_deep2_10582,0.166666666667,0.566666666667,0.266666666667,0.0,0.0
152,GDS_deep2_10587,0.0,0.6,0.4,0.0,0.0
153,GDS_deep2_10588,0.0,1.0,0.0,0.0,0.0
154,GDS_deep2_10590,0.0,0.9,0.1,0.0,0.0
155,GDS_deep2_10595,0.1,0.6,0.3,0.0,0.0
156,GDS_deep2_10596,0.0,1.0,0.0,0.0,0.0
157,GDS_deep2_10601,0.3,0.5,0.0,0.2,0.0
158,GDS_deep2_10606,0.1,0.6,0.3,0.0,0.0
159,GDS_deep2_10609,0.2,0.8,0.0,0.0,0.0
160,GDS_deep2_10613,0.166666666667,0.566666666667,0.266666666667,0.0,0.0
161,GDS_deep2_10630,0.0,1.0,0.0,0.0,0.0
162,GDS_deep2_10635,0.1,0.9,0.0,0.0,0.0
163,GDS_deep2_10637,0.0,0.2,0.6,0.2,0.0
164,GDS_deep2_10638,0.0,0.7,0.3,0.0,0.0
165,GDS_deep2_10648,0.6,0.0,0.0,0.4,0.0
166,GDS_deep2_10652,0.0666666666667,0.866666666667,0.0666666666667,0.0,0.0
167,GDS_deep2_10653,0.0,0.2,0.8,0.0,0.0
168,GDS_deep2_10654,0.4,0.4,0.0,0.2,0.0
169,GDS_deep2_10657,0.2,0.8,0.0,0.0,0.0
170,GDS_deep2_10661,0.0,0.7,0.3,0.0,0.0
171,GDS_deep2_10673,0.8,0.2,0.0,0.0,0.0
172,GDS_deep2_10694,0.0,0.4,0.5,0.0,0.1
173,GDS_deep2_10703,0.0,1.0,0.0,0.0,0.0
174,GDS_deep2_10704,0.0,1.0,0.0,0.0,0.0
175,GDS_deep2_10709,0.0,0.4,0.4,0.0,0.2
176,GDS_deep2_10715,0.3,0.7,0.0,0.0,0.0
177,GDS_deep2_10716,0.4,0.4,0.0,0.2,0.0
178,GDS_deep2_10720,0.0,0.4,0.6,0.0,0.0
179,GDS_deep2_10731,0.0,0.6,0.4,0.0,0.0
180,GDS_deep2_10740,0.0,1.0,0.0,0.0,0.0
181,GDS_deep2_10751,1.0,0.0,0.0,0.0,0.0
182,GDS_deep2_10752,0.2,0.6,0.2,0.0,0.0
183,GDS_deep2_10758,0.0,0.2,0.3,0.0,0.5
184,GDS_deep2_10762,0.3,0.7,0.0,0.0,0.0
185,GDS_deep2_10763,0.0,0.8,0.2,0.0,0.0
186,GDS_deep2_10775,0.0,1.0,0.0,0.0,0.0
187,GDS_deep2_10779,0.3,0.7,0.0,0.0,0.0
188,GDS_deep2_10782,0.0666666666667,0.666666666667,0.266666666667,0.0,0.0
189,GDS_deep2_10783,0.0,1.0,0.0,0.0,0.0
190,GDS_deep2_10785,0.2,0.3,0.5,0.0,0.0
191,GDS_deep2_10798,0.0,0.5,0.3,0.0,0.2
192,GDS_deep2_10807,0.0,0.8,0.2,0.0,0.0
193,GDS_deep2_10827,0.5,0.4,0.1,0.0,0.0
194,GDS_deep2_10843,0.0,0.5,0.5,0.0,0.0
195,GDS_deep2_10849,0.0666666666667,0.766666666667,0.166666666667,0.0,0.0
196,GDS_deep2_10854,0.7,0.1,0.0,0.2,0.0
197,GDS_deep2_10865,0.0,0.0,0.0,1.0,0.0
198,GDS_deep2_10886,0.3,0.7,0.0,0.0,0.0
199,GDS_deep2_10891,0.3,0.7,0.0,0.0,0.0
200,GDS_deep2_10902,0.0,0.7,0.1,0.0,0.2
201,GDS_deep2_10910,0.0,0.9,0.1,0.0,0.0
202,GDS_deep2_10914,0.0,0.6,0.4,0.0,0.0
203,GDS_deep2_10920,0.0,0.7,0.3,0.0,0.0
204,GDS_deep2_10921,0.266666666667,0.266666666667,0.266666666667,0.0,0.2
205,GDS_deep2_10922,0.6,0.4,0.0,0.0,0.0
206,GDS_deep2_10925,0.1,0.3,0.6,0.0,0.0
207,GDS_deep2_10926,0.1,0.8,0.1,0.0,0.0
208,GDS_deep2_10933,0.2,0.7,0.1,0.0,0.0
209,GDS_deep2_10938,0.1,0.5,0.2,0.2,0.0
210,GDS_deep2_10948,0.4,0.4,0.0,0.2,0.0
211,GDS_deep2_10955,0.0666666666667,0.866666666667,0.0666666666667,0.0,0.0
212,GDS_deep2_10956,0.5,0.0,0.0,0.5,0.0
213,GDS_deep2_10961,0.266666666667,0.566666666667,0.166666666667,0.0,0.0
214,GDS_deep2_10972,0.0,0.6,0.4,0.0,0.0
215,GDS_deep2_10974,0.0,0.8,0.2,0.0,0.0
216,GDS_deep2_10976,0.0,0.7,0.2,0.0,0.1
217,GDS_deep2_10986,0.0,0.7,0.3,0.0,0.0
218,GDS_deep2_10994,0.0,0.9,0.1,0.0,0.0
219,GDS_deep2_10995,0.6,0.0,0.0,0.4,0.0
220,GDS_deep2_11001,0.0,0.6,0.4,0.0,0.0
221,GDS_deep2_11005,0.5,0.3,0.0,0.0,0.2
222,GDS_deep2_11017,0.6,0.0,0.0,0.4,0.0
223,GDS_deep2_11021,0.5,0.1,0.0,0.2,0.2
224,GDS_deep2_11024,0.6,0.2,0.0,0.2,0.0
225,GDS_deep2_11030,0.0,0.7,0.3,0.0,0.0
226,GDS_deep2_11032,0.0,0.6,0.4,0.0,0.0
227,GDS_deep2_11033,0.0,1.0,0.0,0.0,0.0
228,GDS_deep2_11050,0.2,0.8,0.0,0.0,0.0
229,GDS_deep2_11054,0.0,1.0,0.0,0.0,0.0
230,GDS_deep2_11056,0.2,0.4,0.2,0.2,0.0
231,GDS_deep2_11059,0.3,0.5,0.2,0.0,0.0
232,GDS_deep2_11060,0.0,0.2,0.5,0.0,0.3
233,GDS_deep2_11078,0.3,0.3,0.2,0.0,0.2
234,GDS_deep2_11084,0.1,0.3,0.6,0.0,0.0
235,GDS_deep2_11089,0.0,0.5,0.5,0.0,0.0
236,GDS_deep2_11093,0.0,0.8,0.0,0.2,0.0
237,GDS_deep2_11104,0.1,0.6,0.3,0.0,0.0
238,GDS_deep2_11108,0.0,0.3,0.7,0.0,0.0
239,GDS_deep2_11111,0.0,0.6,0.4,0.0,0.0
240,GDS_deep2_11114,0.0,0.8,0.2,0.0,0.0
241,GDS_deep2_11120,0.1,0.7,0.2,0.0,0.0
242,GDS_deep2_11126,0.0,0.9,0.1,0.0,0.0
243,GDS_deep2_11132,0.4,0.2,0.4,0.0,0.0
244,GDS_deep2_11139,0.0,1.0,0.0,0.0,0.0
245,GDS_deep2_11140,0.2,0.6,0.0,0.2,0.0
246,GDS_deep2_11141,0.0,0.5,0.5,0.0,0.0
247,GDS_deep2_11144,0.2,0.6,0.2,0.0,0.0
248,GDS_deep2_11149,0.3,0.7,0.0,0.0,0.0
249,GDS_deep2_11153,0.4,0.2,0.2,0.2,0.0
250,GDS_deep2_11164,0.0,0.5,0.5,0.0,0.0
251,GDS_deep2_11172,0.0,0.4,0.2,0.0,0.4
252,GDS_deep2_11173,0.0,0.9,0.1,0.0,0.0
253,GDS_deep2_11181,0.3,0.5,0.0,0.0,0.2
254,GDS_deep2_11193,0.0,0.7,0.3,0.0,0.0
255,GDS_deep2_11196,0.7,0.3,0.0,0.0,0.0
256,GDS_deep2_11199,0.0,0.5,0.3,0.0,0.2
257,GDS_deep2_11202,0.0,0.7,0.1,0.2,0.0
258,GDS_deep2_11204,0.0,0.8,0.2,0.0,0.0
259,GDS_deep2_11205,0.0,0.6,0.4,0.0,0.0
260,GDS_deep2_11207,0.0,0.5,0.3,0.0,0.2
261,GDS_deep2_11225,0.0,0.0,1.0,0.0,0.0
262,GDS_deep2_11228,0.5,0.5,0.0,0.0,0.0
263,GDS_deep2_11230,0.5,0.3,0.0,0.2,0.0
264,GDS_deep2_11245,0.4,0.2,0.2,0.2,0.0
265,GDS_deep2_11249,0.3,0.7,0.0,0.0,0.0
266,GDS_deep2_11261,0.0,0.6,0.2,0.0,0.2
267,GDS_deep2_11273,1.0,0.0,0.0,0.0,0.0
268,GDS_deep2_11275,0.2,0.5,0.1,0.2,0.0
269,GDS_deep2_11279,0.2,0.8,0.0,0.0,0.0
270,GDS_deep2_11293,0.3,0.6,0.1,0.0,0.0
271,GDS_deep2_11297,0.6,0.2,0.0,0.2,0.0
272,GDS_deep2_11299,0.0,0.7,0.3,0.0,0.0
273,GDS_deep2_11302,0.6,0.0,0.0,0.4,0.0
274,GDS_deep2_11310,0.5,0.3,0.0,0.2,0.0
275,GDS_deep2_11320,0.2,0.7,0.1,0.0,0.0
276,GDS_deep2_11325,0.2,0.8,0.0,0.0,0.0
277,GDS_deep2_11334,0.3,0.7,0.0,0.0,0.0
278,GDS_deep2_11341,0.0,1.0,0.0,0.0,0.0
279,GDS_deep2_11343,0.2,0.8,0.0,0.0,0.0
280,GDS_deep2_11345,0.6,0.2,0.0,0.2,0.0
281,GDS_deep2_11352,0.4,0.0,0.2,0.4,0.0
282,GDS_deep2_11360,0.8,0.0,0.0,0.2,0.0
283,GDS_deep2_11362,0.0,0.4,0.3,0.0,0.3
284,GDS_deep2_11364,0.4,0.0,0.0,0.6,0.0
285,GDS_deep2_11373,0.266666666667,0.666666666667,0.0,0.0666666666667,0.0
286,GDS_deep2_11380,0.2,0.8,0.0,0.0,0.0
287,GDS_deep2_11416,0.4,0.0,0.2,0.4,0.0
288,GDS_deep2_11435,0.0,0.7,0.3,0.0,0.0
289,GDS_deep2_11437,0.0,1.0,0.0,0.0,0.0
290,GDS_deep2_11469,0.0,0.8,0.2,0.0,0.0
291,GDS_deep2_11479,0.0,1.0,0.0,0.0,0.0
292,GDS_deep2_11493,0.5,0.5,0.0,0.0,0.0
293,GDS_deep2_11500,0.3,0.5,0.2,0.0,0.0
294,GDS_deep2_11520,0.4,0.2,0.0,0.2,0.2
295,GDS_deep2_11523,0.0,1.0,0.0,0.0,0.0
296,GDS_deep2_11530,0.6,0.0,0.0,0.4,0.0
297,GDS_deep2_11532,1.0,0.0,0.0,0.0,0.0
298,GDS_deep2_11551,0.6,0.0,0.0,0.4,0.0
299,GDS_deep2_11554,0.1,0.4,0.5,0.0,0.0
300,GDS_deep2_11556,0.1,0.8,0.1,0.0,0.0
301,GDS_deep2_11568,0.0,0.6,0.2,0.2,0.0
302,GDS_deep2_11580,0.1,0.9,0.0,0.0,0.0
303,GDS_deep2_11587,0.0,0.8,0.2,0.0,0.0
304,GDS_deep2_11589,0.0,0.6,0.2,0.0,0.2
305,GDS_deep2_11590,0.0,1.0,0.0,0.0,0.0
306,GDS_deep2_11603,0.1,0.9,0.0,0.0,0.0
307,GDS_deep2_11612,0.0,0.6,0.4,0.0,0.0
308,GDS_deep2_11632,0.1,0.7,0.1,0.1,0.0
309,GDS_deep2_11647,0.0,0.1,0.9,0.0,0.0
310,GDS_deep2_11667,0.3,0.6,0.0,0.1,0.0
311,GDS_deep2_11669,0.3,0.7,0.0,0.0,0.0
312,GDS_deep2_11673,0.366666666667,0.466666666667,0.166666666667,0.0,0.0
313,GDS_deep2_11676,0.2,0.8,0.0,0.0,0.0
314,GDS_deep2_11678,0.5,0.3,0.0,0.2,0.0
315,GDS_deep2_11681,0.4,0.5,0.0,0.1,0.0
316,GDS_deep2_11683,0.7,0.3,0.0,0.0,0.0
317,GDS_deep2_11687,0.6,0.1,0.0,0.3,0.0
318,GDS_deep2_11688,0.1,0.9,0.0,0.0,0.0
319,GDS_deep2_11694,0.0,0.9,0.1,0.0,0.0
320,GDS_deep2_11696,0.0,0.0,0.0,1.0,0.0
321,GDS_deep2_11706,0.5,0.4,0.0,0.1,0.0
322,GDS_deep2_11716,0.366666666667,0.466666666667,0.166666666667,0.0,0.0
323,GDS_deep2_11717,0.633333333333,0.233333333333,0.0666666666667,0.0666666666667,0.0
324,GDS_deep2_11723,0.5,0.3,0.0,0.2,0.0
325,GDS_deep2_11724,0.0,1.0,0.0,0.0,0.0
326,GDS_deep2_11733,0.5,0.0,0.0,0.5,0.0
327,GDS_deep2_11735,0.2,0.8,0.0,0.0,0.0
328,GDS_deep2_11737,0.2,0.0,0.0,0.8,0.0
329,GDS_deep2_11753,0.1,0.0,0.0,0.9,0.0
330,GDS_deep2_11757,0.5,0.4,0.1,0.0,0.0
331,GDS_deep2_11762,0.4,0.6,0.0,0.0,0.0
332,GDS_deep2_11763,0.1,0.7,0.2,0.0,0.0
333,GDS_deep2_11764,0.4,0.6,0.0,0.0,0.0
334,GDS_deep2_11768,0.0,0.166666666667,0.166666666667,0.666666666667,0.0
335,GDS_deep2_11771,0.1,0.9,0.0,0.0,0.0
336,GDS_deep2_11803,0.4,0.6,0.0,0.0,0.0
337,GDS_deep2_11807,0.0,0.7,0.1,0.0,0.2
338,GDS_deep2_11813,0.0666666666667,0.166666666667,0.766666666667,0.0,0.0
339,GDS_deep2_11825,0.2,0.8,0.0,0.0,0.0
340,GDS_deep2_11837,0.2,0.8,0.0,0.0,0.0
341,GDS_deep2_11838,0.5,0.0,0.0,0.5,0.0
342,GDS_deep2_11845,0.4,0.6,0.0,0.0,0.0
343,GDS_deep2_11860,0.0,1.0,0.0,0.0,0.0
344,GDS_deep2_11874,0.2,0.8,0.0,0.0,0.0
345,GDS_deep2_11925,0.6,0.3,0.0,0.1,0.0
346,GDS_deep2_11944,0.2,0.8,0.0,0.0,0.0
347,GDS_deep2_11950,0.1,0.8,0.1,0.0,0.0
348,GDS_deep2_11952,0.0,1.0,0.0,0.0,0.0
349,GDS_deep2_11960,0.1,0.9,0.0,0.0,0.0
350,GDS_deep2_11984,0.1,0.5,0.4,0.0,0.0
351,GDS_deep2_12001,0.4,0.6,0.0,0.0,0.0
352,GDS_deep2_12035,0.1,0.9,0.0,0.0,0.0
353,GDS_deep2_12077,0.0,0.8,0.2,0.0,0.0
354,GDS_deep2_12080,0.0,1.0,0.0,0.0,0.0
355,GDS_deep2_12085,0.4,0.4,0.0,0.2,0.0
356,GDS_deep2_12128,0.5,0.0,0.0,0.5,0.0
357,GDS_deep2_12176,0.466666666667,0.266666666667,0.166666666667,0.1,0.0
358,GDS_deep2_12198,0.2,0.8,0.0,0.0,0.0
359,GDS_deep2_12228,0.0,0.7,0.3,0.0,0.0
360,GDS_deep2_12244,0.4,0.4,0.0,0.2,0.0
361,GDS_deep2_12282,0.3,0.0,0.0,0.7,0.0
362,GDS_deep2_12294,0.1,0.8,0.1,0.0,0.0
363,GDS_deep2_12295,0.0,0.4,0.6,0.0,0.0
364,GDS_deep2_12316,0.2,0.8,0.0,0.0,0.0
365,GDS_deep2_12328,0.4,0.6,0.0,0.0,0.0
366,GDS_deep2_12330,0.1,0.8,0.1,0.0,0.0
367,GDS_deep2_12346,0.4,0.6,0.0,0.0,0.0
368,GDS_deep2_12387,0.1,0.0,0.0,0.9,0.0
369,GDS_deep2_12413,0.5,0.5,0.0,0.0,0.0
370,GDS_deep2_12458,0.2,0.7,0.1,0.0,0.0
371,GDS_deep2_12466,0.3,0.7,0.0,0.0,0.0
372,GDS_deep2_12490,0.566666666667,0.166666666667,0.0,0.266666666667,0.0
373,GDS_deep2_12492,0.3,0.7,0.0,0.0,0.0
374,GDS_deep2_12493,0.4,0.5,0.0,0.1,0.0
375,GDS_deep2_12506,0.1,0.9,0.0,0.0,0.0
376,GDS_deep2_12523,0.5,0.0,0.0,0.5,0.0
377,GDS_deep2_12526,0.7,0.1,0.0,0.2,0.0
378,GDS_deep2_12563,0.0,0.7,0.3,0.0,0.0
379,GDS_deep2_12569,0.6,0.3,0.0,0.1,0.0
380,GDS_deep2_12591,0.2,0.8,0.0,0.0,0.0
381,GDS_deep2_12594,0.366666666667,0.366666666667,0.166666666667,0.1,0.0
382,GDS_deep2_12624,0.0,0.3,0.5,0.0,0.2
383,GDS_deep2_12625,0.3,0.0,0.0,0.7,0.0
384,GDS_deep2_12640,0.166666666667,0.666666666667,0.166666666667,0.0,0.0
385,GDS_deep2_12652,0.1,0.9,0.0,0.0,0.0
386,GDS_deep2_12680,0.1,0.9,0.0,0.0,0.0
387,GDS_deep2_12697,0.2,0.8,0.0,0.0,0.0
388,GDS_deep2_12710,0.7,0.2,0.0,0.1,0.0
389,GDS_deep2_12738,0.0,1.0,0.0,0.0,0.0
390,GDS_deep2_12741,0.7,0.3,0.0,0.0,0.0
391,GDS_deep2_12756,0.466666666667,0.466666666667,0.0666666666667,0.0,0.0
392,GDS_deep2_12767,0.7,0.0,0.0,0.3,0.0
393,GDS_deep2_12770,0.0666666666667,0.566666666667,0.366666666667,0.0,0.0
394,GDS_deep2_12772,0.1,0.0,0.0,0.9,0.0
395,GDS_deep2_12785,0.0,0.3,0.5,0.0,0.2
396,GDS_deep2_12788,0.0,0.0,0.0,1.0,0.0
397,GDS_deep2_12795,0.5,0.4,0.0,0.1,0.0
398,GDS_deep2_12822,0.8,0.2,0.0,0.0,0.0
399,GDS_deep2_12837,0.2,0.8,0.0,0.0,0.0
400,GDS_deep2_12880,0.4,0.6,0.0,0.0,0.0
401,GDS_deep2_12882,0.2,0.6,0.2,0.0,0.0
402,GDS_deep2_12889,0.7,0.1,0.0,0.2,0.0
403,GDS_deep2_12907,0.0,0.9,0.1,0.0,0.0
404,GDS_deep2_12918,0.3,0.6,0.1,0.0,0.0
405,GDS_deep2_12945,0.5,0.5,0.0,0.0,0.0
406,GDS_deep2_12957,0.0,0.1,0.9,0.0,0.0
407,GDS_deep2_12959,0.2,0.8,0.0,0.0,0.0
408,GDS_deep2_12974,0.0,0.4,0.6,0.0,0.0
409,GDS_deep2_12984,0.4,0.5,0.0,0.1,0.0
410,GDS_deep2_12993,0.0,0.0,0.0,1.0,0.0
411,GDS_deep2_12997,0.8,0.0,0.0,0.2,0.0
412,GDS_deep2_12998,0.0,0.0,0.0,1.0,0.0
413,GDS_deep2_13006,0.5,0.5,0.0,0.0,0.0
